Name, Date, Description, Observed, IsHoliday, IsWorkday
元旦, 2020-01-01, , , 1, 0
春节假期调休, 2020-01-19, , , 0, 1
春节假期, 2020-01-24, , , 1, 0
春节假期, 2020-01-25, , , 1, 0
春节假期, 2020-01-26, , , 1, 0
春节假期, 2020-01-27, , , 1, 0
春节假期, 2020-01-28, , , 1, 0
春节假期, 2020-01-29, , , 1, 0
春节假期, 2020-01-30, , , 1, 0
春节假期, 2020-01-31, , , 1, 0
春节假期, 2020-02-01, 为加强新型冠状病毒感染的肺炎疫情防控工作而延长春节假期, 2020-01-27, 1, 0
春节假期, 2020-02-02, 为加强新型冠状病毒感染的肺炎疫情防控工作而延长春节假期, 2020-01-27, 1, 0
# 国办发明电〔2020〕1号《国务院办公厅关于延长2020年春节假期的通知》
# http://www.gov.cn/zhengce/content/2020-01/27/content_5472352.htm
清明节, 2020-04-04, , , 1, 0
清明假期, 2020-04-05, , , 1, 0
清明假期, 2020-04-06, , , 1, 0
劳动节调休, 2020-04-26, , , 0, 1
劳动节, 2020-05-01, , , 1, 0
劳动节假期, 2020-05-02, , , 1, 0
劳动节假期, 2020-05-03, , , 1, 0
劳动节假期, 2020-05-04, , , 1, 0
劳动节假期, 2020-05-05, , , 1, 0
劳动节调休, 2020-05-09, , , 0, 1
端午节, 2020-06-25, , , 1, 0
端午节假期, 2020-06-26, , , 1, 0
端午节假期, 2020-06-27, , , 1, 0
端午节调休, 2020-06-28, , , 0, 1
国庆假期调休, 2020-09-27, , , 0, 1
国庆节/中秋节, 2020-10-01, , , 1, 0
国庆假期, 2020-10-02, , , 1, 0
国庆假期, 2020-10-03, , , 1, 0
国庆假期, 2020-10-04, , , 1, 0
国庆假期, 2020-10-05, , , 1, 0
国庆假期, 2020-10-06, , , 1, 0
国庆假期, 2020-10-07, , , 1, 0
国庆假期, 2020-10-08, , , 1, 0
国庆假期调休, 2020-10-10, , , 0, 1
# http://www.gov.cn/zhengce/content/2019-11/21/content_5454164.htm
